x,y
2,0.322475
3,0.47263432000000005
4,0.39847045999999997
5,0.6875468
6,0.51230352
7,0.76253378
8,0.61284168
9,0.77536894
10,0.8529426600000001
11,0.76228296
12,0.9229060199999999
13,1.0630673400000001
14,1.1499573399999998
15,1.18750666
16,1.16417942
17,1.42451588
18,1.15556904
19,1.299775
20,1.7688731199999999
21,1.49780628
22,1.8394525000000002
23,1.8384985
24,1.7487208199999997
25,2.08369224
