x,y,diff,time
0.9189796414995737,0.8443773912950121,0.006566435648868691,16.049999952316284
0.9191260433530138,0.84430651585272,0.0065642327686484024,0.029000043869018555
0.9258679370097559,0.8560565938549896,0.005633588353668952,0.03699994087219238
0.9427941657426393,0.888660004922324,0.0032765409040836422,0.010999917984008789
1.000104035976224,1.0002071589925117,1.0908821929769686e-8,0.1119999885559082
1.0000957417692966,1.0001911165046398,9.180639065144016e-9,3.183000087738037
1.0000942895231253,1.000190044064263,9.102544900341539e-9,10.233000040054321
1.0000859093696344,1.0001729455723865,7.505737225252992e-9,0.31999993324279785
1.0000760138758025,1.000152891128474,5.851656877792071e-9,14.242000102996826
0.9999253688746029,0.999850852771945,5.571002872515742e-9,4.748999834060669
0.9999902533607389,0.9999806667066138,9.755346254193645e-11,148.76500010490417
