x,y,ab_diff,step_time,hyp_count
-20.000000000000004,-0.000000000000008847924842781387,10.61302714782261,0.0000037,16
20,0.000000000000006635943632086037,10.613027147822608,0.0008279,32
2.499039318901356,-2.4990393189013522,10.49847716177716,0.0008403,40
-1.8512314614371224,1.851231461437175,8.288761298389229,0.0757497,136
-1.505599762377782,-0.04333818270638595,4.162710821437788,1.3669573,360
1.5422160738541253,-0.2096391996608367,1.330161771335177,64.4599528,1744
0.6057186587114035,0.03452607400851068,0.8142978078964606,41.0834905,2496
-0.10860464637698601,1.0225293001665816,0.726791646020854,1.5354016000000001,2524
0.22161591913760156,0.4186288135823124,0.2490409107931324,66.0907372,3736
0.10916214770040938,0.5310825850195047,0.06362257661838999,33.3360805,4352
0.13917279704870636,0.5010719356712076,0.01556956238363194,8.0039685,4500
