Name,stdGrad,aveGrad,maxGrad
Griewank,0.272244266,0.363883066,1.003935648
Ackley,1.808661258,1.402359517,9.222083471
Himmelblau,1.659178179,1.088370133,0.598377077
Easom,1.545789176,0.873011445,1.085059873
Rastrigin,23.95427398,10.88961085,114.9895065
Holder_Table,22.35181696,9.937255305,29.04544829
Drop_Wave,21.1450335,8.747292206,6.006944355
Shaffer N. 2,20.00463957,8.703010644,19.6190065
Styblinski-Tang,290.0456874,81.39602183,2596.27971
