x,y,diff,time
-10.026502717245693,-10.026502717245693,0.15339138557572551,14.631999969482422
0.5173439991571189,3.9293545042748312,0.015345220397887827,0.0
1.5951471613019161,0.7723985407340125,0.0031266031339240996,0.007999897003173828
0.030191665333095,-0.007594943914501116,1.908603380729179e-6,0.003000020980834961
-0.020900842542878592,-0.02301834739544275,1.9011746949515462e-6,0.009999990463256836
-0.01577368891500147,-0.017371751899870638,8.537322800927782e-7,0.08800005912780762
-0.022881435741957886,-0.005056903406977922,8.506779236028272e-7,0.315000057220459
-0.007434233052050839,-0.005101711182603312,8.790418937199007e-8,0.4240000247955322
-0.008885440931755815,0.0009028657686649427,8.612886759351568e-8,0.26600003242492676
-0.0001187804240877527,-0.007657425614635283,6.209012498592514e-8,0.07599997520446777
-0.0025325428682124542,-0.003322226940417665,1.7755500791860612e-8,0.016000032424926758
