x,y,ab_diff,step_time,hyp_count
-19.777500000000003,-0.22250000000000447,210.14891572798768,0.0000034,16
19.777500000000007,-0.22249999999999565,205.87906216742533,0.0020644,44
0.03436584753515585,19.520634152464762,153.4516040247577,0.0081476,72
0.36902439345501625,0.6738421952899393,10.900732598505998,0.0140207,96
-0.6469299398714697,1.0204794367766994,8.120690829136658,0.0217176,120
-0.7292041559325317,1.102753652837761,6.828530977439241,0.1494442,196
1.0503201808616418,1.355137982696565,5.398255925284262,2.2707052,456
-0.3030251477951103,2.4611307524283053,5.381281123591195,0.0669396,460
0.16717907257811168,2.5840483527824496,5.378759161663732,0.2748757,476
-0.7433771542105926,3.4946045795711522,5.376688540762817,0.2983653,492
-0.814889201696942,3.3004901769715898,5.367350374612422,1.7276194,568
1.2176538600133608,2.917184097555233,4.020708628274294,10.9483823,860
-1.1985258537986379,3.039455879983107,3.616522173871083,8.2170461,1060
-1.3156604238452794,2.8213340501996123,2.677500310055957,19.3748087,1536
3.4337115611382063,2.3862231310334345,2.3913216670197266,7.9321098,1728
3.4337115611382063,2.3862231310334345,0.009994159270974618,1080.2287108,28256
