Runtime,L
2.6808369,0.1131370849898476
16.2920617,0.2262741699796952
30.7341287,0.33941125496954283
46.4278682,0.4525483399593904
56.2129249,0.5656854249492381
65.805092,0.6788225099390857
85.9459828,0.7919595949289333
93.7279038,0.9050966799187808
117.6439978,1.0182337649086284
137.1689484,1.1313708498984762
139.4482896,1.2445079348883237
141.8586807,1.3576450198781713
126.6388956,1.470782104868019
150.0757842,1.5839191898578666
185.2190823,1.697056274847714
202.9872566,1.8101933598375617
180.3736739,1.9233304448274096
224.5469581,2.0364675298172568
200.6137362,2.1496046148071044
202.1990714,2.2627416997969525
269.0154743,2.3758787847867997
279.7232488,2.4890158697766473
230.2568697,2.602152954766495
271.0144531,2.7152900397563426
227.9728049,2.8284271247461903
272.8534009,2.941564209736038
241.1306856,3.0547012947258856
284.7919496,3.1678383797157332
278.2609989,3.2809754647055804
283.8004884,3.394112549695428
317.9333142,3.5072496346852757
323.6964111,3.6203867196751234
280.5573144,3.733523804664971
320.4251809,3.846660889654819
374.0857102,3.9597979746446668
286.3329008,4.0729350596345135
363.4421417,4.186072144624362
378.9685472,4.299209229614209
362.1977374,4.412346314604057
281.9730088,4.525483399593905
411.8253758,4.638620484583752
355.1928524,4.751757569573599
364.3407559,4.864894654563447
383.4521347,4.978031739553295
321.3265976,5.091168824543142
417.7836935,5.20430590953299
335.3390579,5.317442994522838
382.345315,5.430580079512685
486.0927033,5.5437171645025325
427.3655205,5.656854249492381
351.8328607,5.769991334482228
516.144079,5.883128419472076
451.2942764,5.996265504461923
623.3987314,6.109402589451771
478.8273715,6.222539674441618
545.6352901,6.3356767594314665
344.4620956,6.448813844421315
509.3711833,6.561950929411161
544.5164129,6.675088014401008
502.8159496,6.788225099390856
658.8823028,6.901362184380703
368.8547355,7.0144992693705515
595.9395854,7.1276363543603996
539.8114478,7.240773439350247
459.8904576,7.353910524340095
495.1824242,7.467047609329942
571.900459,7.58018469431979
651.6741721,7.693321779309638
534.4791877,7.806458864299485
600.5499981,7.9195959492893335
535.3134616,8.032733034279179
568.494,8.145870119269027
532.2318454,8.259007204258875
524.4670912,8.372144289248723
594.877219,8.48528137423857
547.4959017,8.598418459228418
543.8551437,8.711555544218266
852.2940319,8.824692629208114
582.3199593,8.937829714197962
443.4512053,9.05096679918781
454.5735826,9.164103884177656
737.4323305,9.277240969167504
603.0317691,9.39037805415735
641.8631337,9.503515139147199
575.5782969,9.616652224137045
888.512894,9.729789309126893
819.1640467,9.842926394116741
585.4966601,9.95606347910659
809.7584118,10.069200564096437
715.2586099,10.182337649086284
692.8742407,10.295474734076132
735.1288694,10.40861181906598
585.4141853,10.521748904055828
955.7132072,10.634885989045676
899.0762295,10.748023074035522
764.8539914,10.86116015902537
699.5252283,10.974297244015217
915.4831081,11.087434329005065
1049.9563755,11.200571413994913
